PMID,TI,AB,JT
39614747,ADNI Biomarker Core: A review of progress since 2004 and future challenges.,"BACKGROUND: We describe the Alzheimer's Disease Neuroimaging Initiative (ADNI) Biomarker Core major activities from October 2004 to March 2024, including biobanking ADNI cerebrospinal fluid (CSF), plasma, and serum biofluid samples, biofluid analyses for Alzheimer's disease (AD) biomarkers in the Biomarker Core and various non-ADNI laboratories, and continuous assessments of pre-analytics. RESULTS: Validated immunoassay and mass spectrometry-based assays were performed in CSF with a shift to plasma, a more accessible biofluid, as qualified assays became available. Performance comparisons across different CSF and plasma AD biomarker measurement platforms have enriched substantially the ADNI participant database enabling method performance determinations for AD pathology detection and longitudinal assessments of disease progression. DISCUSSION: Close collaboration with academic and industrial partners in the validation and implementation of AD biomarkers for early detection of disease pathology in treatment trials and ultimately in clinical practice is a key factor for the success of the work done in the Biomarker Core. HIGHLIGHTS: Describe ADNI Biomarker Core biobanking and sample distribution from 2007 to 2024. Discuss validated mass spectrometry and immunoassay methods for ADNI biofluid analyses. Review collaborations with academic and industrial partners to detect AD and progression. Discuss major challenges, and progress to date, for co-pathology detection. Implementation in the ATN scheme: co-pathology and modeling disease progression.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39874644,"Brain microenvironment-remodeling nanomedicine improves cerebral glucose metabolism, mitochondrial activity and synaptic function in a mouse model of Alzheimer's disease.","The development of disease-modifying therapeutics for Alzheimer's disease remains challenging due to the complex pathology and the presence of the blood-brain barrier. Previously we have described the investigation of a brain-penetrating multifunctional bioreactive nanoparticle system capable of remodeling the hypoxic and inflammatory brain microenvironment and reducing beta-amyloid plaques improving cognitive function in a mouse model of Alzheimer's disease. Despite the linkage of hypoxia and inflammation to metabolic alteration, the effects of this system on modulating cerebral glucose metabolism, mitochondrial activity and synaptic function remained to be elucidated. To examine this, a transgenic mouse model of Alzheimer's disease (TgCRND8) in vivo were treated intravenously with beta-amyloid antibody-conjugated (Ab), blood-brain barrier-crossing terpolymer (TP) containing polymer-lipid based manganese dioxide nanoparticles (Ab-TP-MDNPs). Alterations in cerebral glucose utilization were determined by [(1)⁸F]FDG-PET imaging in vivo, with glucose metabolism and mitochondrial activity analyzed by biomarkers and studies with primary neurons in vitro. Synaptic function was evaluated by both biomarkers and electrophysiologic analysis. Current study shows that intravenously administered Ab-TP-MDNPs enhanced cerebral glucose utilization, improved glucose metabolism, mitochondrial activity, and increased the levels of neprilysin, O-glycosylation. The consequence of this was enhanced glucose and ATP availability, resulting in improved long-term potentiation for promoting neuronal synaptic function. This study highlights the importance of targeting the metabolism of complex disease pathologies in addressing disease-modifying therapeutics for neurodegenerative disorders such as Alzheimer's disease.",Biomaterials
39935329,SSRIs reduce plasma tau and restore dorsal raphe metabolism in Alzheimer's disease.,"INTRODUCTION: Tau pathology impacts neurodegeneration and cognitive decline in Alzheimer's disease (AD), with the dorsal raphe nucleus (DRN) being among the brain regions showing the earliest tau pathology. As a serotonergic hub, DRN activity is altered by selective serotonin reuptake inhibitors (SSRIs), which also have variable effects on cognitive decline and pathology in AD. METHODS: We examined N = 191 subjects with baseline (18)F-fluorodeoxyglucose positron emission tomography and plasma biomarker data to study the effects of SSRIs on tau pathology, cognitive decline, and DRN metabolism. RESULTS: Plasma phosphorylated tau 181 (p-tau181) was lower with SSRI use. The effect of SSRIs on cognition varied by cognitive assessment. The DRN was hypometabolic in AD patients relative to healthy controls; however, SSRI use restored the metabolic activity of this region in AD patients. DISCUSSION: Long-term SSRI use may reduce the pathological presentation of AD but has variable effects on cognitive performance. HIGHLIGHTS: Tau pathology spreads throughout the brain during AD pathogenesis. The DRN is among the first regions to develop tau pathology during this process. SSRI use restores the metabolic activity of the DRN and reduces plasma p-tau181.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39443362,Unveiling the hippocampal subfield changes across the Alzheimer's disease continuum: a systematic review of neuroimaging studies.,"Studies exploring the hippocampal subfield atrophy in Alzheimer's disease (AD) have shown contradictory results. This review aims to disentangle such heterogeneity by investigating the dynamic changes of hippocampal subfields across the AD continuum. We systematically searched the PubMed and EMBASE databases for case-control studies. Selected studies included investigations of biomarker-based amyloid status and reported data on hippocampal subfield atrophy using advanced MRI techniques. Twelve studies were included. Despite high heterogeneity, a distinguishable pattern of vulnerability of hippocampal subfields can be recognized from the cognitively unimpaired phase to the dementia stage, shedding light on hippocampal changes with disease progression. Consistent findings revealed atrophy in the subiculum and presubiculum, along with a potential increase in volume in the cornu ammonis (CA) among the cognitively unimpaired group, a feature not observed in patients experiencing subjective cognitive decline. Atrophy in the subiculum, presubiculum, CA 1-4, and the dentate gyrus characterized the mild cognitive impairment stage, with a more pronounced severity in the progression to dementia.",Brain imaging and behavior
39855320,Decreased serum PF4 levels correlate with cognitive decline and CSF biomarkers in Alzheimer's disease in a Chinese cohort.,"BACKGROUND: Platelet factor 4 (PF4), a chemotactic factor secreted from the α-granules of platelets, has recently been proved to mitigate neuroinflammation and improve aging-related cognition decline, which may be involved in Alzheimer's disease (AD). OBJECTIVE: This study aims to investigate the alterations of serum PF4 levels in AD, the correlation between serum PF4 and β-amyloid (Aβ) and tau levels in cerebrospinal fluid (CSF), and the potential diagnostic utility of PF4 in AD. METHODS: A cross-sectional study was conducted involving 38 amyloid-positive AD patients and 50 cognitively normal controls. The levels of serum PF4 were detected using the Human CXCL4/PF4 enzyme-linked immunosorbent assay (ELISA) Kit. The levels of CSF Aβ42, Aβ40, p-tau181, and t-tau were measured on the fully-automated Lumipulse G1200 platform via commercially available kits. RESULTS: The levels of serum PF4 were significantly decreased in AD patients (5163.51 (3198.24-6301.15) vs. 5859.29 (4126.06-8006.70), Z = -2.30, P = 0.021). The negative correlation between AD diagnosis (β = -1972.292, P = 0.009) and PF4 levels retained after the adjustments of age, sex, APOE ε4 status, platelet count, platelet distribution width (PDW), and comorbidity of dyslipidemia in the multiple linear regression analysis. Further analysis showed that serum PF4 levels were positively correlated with CSF Aβ42 levels and Mini-Mental State Examination (MMSE) scores, and negatively correlated with CSF t-tau levels. Besides, the area under the curve (AUC) of serum PF4 for AD (AUC = 0.6437, P = 0.022) was comparable to that of CSF Aβ40 (AUC = 0.6400) yet lower than those of CSF Aβ42, ptau181, and t-tau. The AUC slightly increased when combining serum PF4 with other CSF AD biomarkers separately. CONCLUSIONS: The serum levels of PF4 were decreased in AD patients and were significantly correlated with the cognitive function and CSF levels of Aβ42 and t-tau. PF4 may become a promising anti-aging and therapeutic target for AD, which is worthy of further study.",Experimental gerontology
39775480,Importance of Gut Microbiota Dysbiosis and Circadian Disruption-Associated Biomarkers in Emergence of Alzheimer's Disease.,"Alzheimer's disease (AD) is a major devastating neurodegenerative disorder afflicting majorly the geriatric population. Emerging studies augur the connection of gut dysbiosis and circadian disruption with the early onset of AD. Gut dysbiosis is characterized by dysregulated gut microbiota signature and compromised intestinal integrity, which provokes the translocation of bacterial metabolites into the systemic circulation. Noteworthy, gut-derived metabolites like calprotectin, trimethylamine-N-oxide, kynurenine, isoamylamine, and short-chain fatty acids play a key role in AD pathogenesis. Circadian dysregulation also corresponds with the exacerbated AD pathogenesis by accumulating Aβ and tau proteins. Moreover, circadian dysregulation is one of the causative factors for gut dysbiosis. This review discusses the complex interplay between the microbiota-gut-brain axis, circadian rhythmicity, and the emergence of AD. We reviewed preclinical and clinical studies on AD describing potential biomarkers of gut dysbiosis and circadian dysregulation. The identification of new biomarkers associated with the microbiota-gut-brain axis and circadian rhythmicity may help in early diagnosis and development of targeted therapies for mitigating neurodegenerative AD.",Molecular neurobiology
40015298,"Associations between moderate-to-vigorous physical activity, p-tau181, and cognition in healthy older adults with memory complaints: a secondary analysis from the MAPT.","BACKGROUND: Physical activity provides benefits against cognitive decline but its associations with Alzheimer's disease pathophysiology are not fully understood. We investigated cross-sectional and longitudinal associations between moderate-to-vigorous physical activity and phosphorylated (p)-tau181 blood concentrations, and the role of p-tau181 in the associations between moderate-to-vigorous physical activity and cognition. METHODS: In this post-hoc secondary analysis, we used data from a multicentre, randomised, placebo-controlled superiority trial (the Multidomain Alzheimer's Preventive Trial [MAPT]), in which adults aged 70 years and older were recruited from the community in 13 memory centres in France and Monaco. Individuals were eligible if they met at least one of the following criteria: spontaneous memory complaints, low gait speed (≤0·77 m/s), or limitation in at least one instrumental activity of daily living. Exclusion criteria included a dementia diagnosis, a Mini Mental State Examination score below 24, and having limitations in basic activities of daily living. For this secondary analysis, participants from MAPT were included if they had blood p-tau181 concentrations measured at baseline or at 3 years, or both timepoints. Self-reported moderate-to-vigorous physical activity (in metabolic equivalent of task min per week) and a cognitive composite score (calculated by averaging the Z scores of four cognitive tests) were assessed at baseline and at 6 months and at 1, 2, and 3 years. Mixed-effect models were used to examine the cross-sectional and longitudinal associations between moderate-to-vigorous physical activity and p-tau181 concentrations and to explore the mediating and moderating role of p-tau181 concentration on the association between moderate-to-vigorous physical activity and cognition. FINDINGS: Between May 30, 2008, and Feb 24, 2011, 1679 individuals were enrolled in the MAPT, of whom 558 adults had measurements of p-tau181 concentrations at baseline, 3 years, or both timepoints. Higher levels of moderate-to-vigorous physical activity were associated with slower changes in p-tau181 concentrations over time. Compared with inactive individuals, those with low levels of activity (low moderate-to-vigorous physical activity × time: B = -0·109 [95% CI -0·206 to -0·012; p=0·028]) or high levels of activity (high moderate-to-vigorous physical activity × time: B=-0·114 [95% CI -0·208 to -0·020; p=0·018) had a slower increase in p-tau181 concentrations. We did not identify any association between baseline p-tau181 concentrations and baseline moderate-to-vigorous physical activity levels. The cross-sectional and longitudinal associations between moderate-to-vigorous physical activity and cognition were attenuated with increasing baseline p-tau181 concentrations. Specifically, moderate-to-vigorous physical activity was no longer favourably associated with the cognitive composite score when baseline p-tau181 concentration exceeded 9·36 pg/mL and 3·5 pg/mL for the cross-sectional association and longitudinal association, respectively. INTERPRETATION: Our findings suggest that engaging in more moderate-to-vigorous physical activity might help to slow the age-related neurodegenerative process, although p-tau pathophysiology seems to mitigate the beneficial associations between moderate-to-vigorous physical activity and cognition in older adults. Verification of these findings in larger population samples will be needed. FUNDING: Toulouse Gérontopôle, French Ministry of Health, and Pierre Fabre Research Institute.",The lancet. Healthy longevity
39991795,Cognitive vulnerability to glucose fluctuations: A digital phenotype of neurodegeneration.,"INTRODUCTION: Cognition is reduced at low and high glucose, reflecting cognitive vulnerability to glucose (CVG) fluctuations. The impact of glucose fluctuations on the aging brain remains unclear. We examined whether CVG is associated with plasma biomarkers of Alzheimer's disease (AD) pathology and neurodegeneration. METHODS: Participants included N = 114 adults with type 1 diabetes assessed for processing speed and sustained attention using ecological momentary assessment (EMA) combined with continuous glucose monitoring (CGM). We characterized associations between CVG and amyloid beta (Aβ) 42/40, phosphorylated tau (p-tau) 181 and 217, neurofilament light chain, and glial fibrillary acidic protein. RESULTS: CVG was associated with all plasma biomarkers, except Aβ 42/40. CVG for sustained attention exhibited strong associations with p-tau biomarkers that persisted across covariate specifications. DISCUSSION: CVG may be a useful digital phenotype of AD. It remains unclear whether CVG contributes to versus arises from neurodegeneration. We consider possible mechanisms linking cognitive vulnerability and long-term glucose variability to the development of neuropathology. HIGHLIGHTS: Cognitive vulnerability to glucose (CVG) may be a useful digital phenotype of neurodegeneration. We used cognitive ecological momentary assessment and continuous glucose monitoring to investigate CVG's associations with plasma biomarkers. Associations of CVG for sustained attention and phosphorylated tau 181 remained significant across covariates. We discuss possible mechanisms relating glucose variability, cognition, and neurodegeneration.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39588767,The Consortium for Clarity in ADRD Research Through Imaging (CLARiTI).,"The presence of multiple pathologies is the largest predictor of dementia. A major gap in the field is the in vivo detection of mixed pathologies and their antecedents. The Alzheimer's Disease Research Centers (ADRCs) are uniquely positioned to address this gap. The ADRCs longitudinally follow ≈ 17,000 participants, ranging from cognitively unimpaired to dementia, arising from Alzheimer's disease (AD) and related dementias (ADRD; e.g., AD, Lewy body disorders, vascular). Motivated by the Alzheimer's Disease Neuroimaging Initiative's (ADNI) impact, the ADRC Consortium for Clarity in ADRD Research Through Imaging (CLARiTI) was formed. Leveraging existing ADRC infrastructure, CLARiTI will integrate standardized imaging and plasma collection to characterize mixed pathologies and use community-engaged research methods to ensure that ≥ 25% of the sample is from underrepresented populations (e.g., ethnoculturally minoritized, low education). The resulting ADRD profiles, within a more diverse sample, will provide key resources for ADRCs and an unprecedented, more generalizable publicly available imaging-plasma dataset. HIGHLIGHTS: In vivo detection of mixed pathologies is critical for Alzheimer's disease and related dementias research. The Alzheimer's Disease Research Centers (ADRCs) are uniquely positioned to address gaps related to mixed pathologies. The ADRC Consortium for Clarity in ADRD Research Through Imaging (CLARiTI) will enhance this national program by adding standardized imaging and plasma collection to existing ADRC infrastructure. This effort will provide key resources for ADRCs and an unprecedented publicly available imaging-plasma-neuropath dataset.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39881147,Increased plasma DOPA decarboxylase levels in Lewy body disorders are driven by dopaminergic treatment.,"DOPA Decarboxylase (DDC) has been proposed as a cerebrospinal fluid (CSF) biomarker with increased concentrations in Lewy body disorders (LBDs) and highest levels in patients receiving dopaminergic treatment. Here we evaluate plasma DDC, measured by proximity extension assay, and the effect of dopaminergic treatment in three independent LBD (with a focus on dementia with Lewy bodies (DLB) and Parkinson's disease (PD)) cohorts: an autopsy-confirmed cohort (n = 71), a large multicenter, cross-dementia cohort (n = 1498) and a longitudinal cohort with detailed treatment information (n = 66, median follow-up time[IQR] = 4[4, 4] years). Plasma DDC was not altered between different LBDs and other disease groups or controls in absence of treatment. DDC levels increased over time in PD, being significantly associated to higher dosages of dopaminergic treatment. This emphasizes the need to consider treatment effect when analyzing plasma DDC, and suggests that plasma DDC, in contrast to CSF DDC, is of limited use as a diagnostic biomarker for LBD, but could be valuable for treatment monitoring.",Nature communications
39704304,Biological brain age and resilience in cognitively unimpaired 70-year-old individuals.,"INTRODUCTION: This study investigated the associations of brain age gap (BAG)-a biological marker of brain resilience-with life exposures, neuroimaging measures, biological processes, and cognitive function. METHODS: We derived BAG by subtracting predicted brain age from chronological age in 739 septuagenarians without dementia or neurological disorders. Robust linear regression models assessed BAG associations with life exposures, plasma inflammatory and metabolic biomarkers, magnetic resonance imaging, and cerebrospinal fluid biomarkers of neurodegeneration and vascular brain injury, and cognitive performance. RESULTS: Greater BAG (older-looking brains) was associated with physical inactivity, diabetes, and stroke, while prediabetes was related to lower BAG, that is, younger-looking brains. Physical activity mitigated the link between obesity and BAG. Greater BAG was associated with greater small vessel disease burden, white-matter alterations, inflammation, high glucose, poorer vascular-related cognitive domains. Sex-specific associations were identified. DISCUSSION: Vascular-related lifestyles and health shape brain appearance. Inflammation and insulin-related processes may be keys to understanding vascular cognitive disorders. HIGHLIGHTS: BAG, reflecting deviations from CA, can indicate resilience. Diabetes, stroke, and low physical activity link to ""older"" brains (greater BAG). Physical activity yielded to ""younger"" brains in septuagenarians with obesity. High cerebrovascular burden, inflammation, and glucose associate with ""older"" brains. Sex differences were detected in all BAG-associated factors.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39894921,MicroRNA-based recent research developments in Alzheimer's disease.,"Alzheimer's disease (AD) is a chronic neurodegenerative disorder that is characterized by memory and physical impairment in aged individuals. microRNAs (miRNAs) are small, single-stranded noncoding RNAs that induce translational repression by binding to the 3' UTR of a target mRNA. miRNAs play a crucial role in neurological activity by mediating cellular proliferation, synaptic plasticity, apoptosis and more. Ongoing research in patents and clinical trials have called attention to promising miRNAs as biomarkers and therapeutics in AD. Recent research has shown that miRNAs are aberrantly expressed in AD brain, blood, cerebrospinal fluid and serum. Attenuated miRNA expressions have diagnostic potential in AD by interacting with amyloid-β synthesis, phosphorylated tau, and neurofibrillary tangles. In this study, miRNA-29a, miRNA-125b, miRNA-34a, miRNA-146a, and miRNA-155 have shown promise as potential biomarker candidates for AD. Improving cognitive symptoms can be traced to restoring the endogenous miRNA activity by synthesizing miRNA mimics and miRNA antisense oligonucleotides. miRNA-483-5p, miRNA-188-5p, miRNA-219, miRNA135a/5p, miRNA-23/23b-3p, miRNA-124, and miRNA-455-3p are growing therapeutics for AD. However, miRNA-based therapeutics struggle outside of preclinical testing. miRNA-107, miRNA-206, miRNA-30/7, and miRNA-142-3p face bottlenecks in clinical trials due to a lack of experimental design, transparency and volunteer size. Patenting recent miRNA-based developments demonstrates the commitment in identifying a new biomarker and/or therapeutic for AD.",Journal of Alzheimer's disease : JAD
39880323,The inflammatory profiling in a cohort of older patients suffering from cognitive decline and dementia.,"BACKGROUND: During aging, there is a progressive impairment of immune cell function that triggers the production of pro-inflammatory cytokines causing the so-called ""inflammaging"". Frailty represents a condition of increased vulnerability to stresses and reduced homeostatic reserve reflecting not only health status but also biological age. In older subjects without dementia, we showed that markers of inflammaging were differently associated with chronological age than with frailty. This study analysed the same markers in older people with cognitive decline and/or dementia. METHODS: The cohort consisted of 776 community-dwelling older people: 235 patients with mild cognitive impairment, 63 with Alzheimer's disease (AD), 175 with mixed dementia (MD), and 303 subjects without cognitive decline. Plasma concentrations of inflammatory cytokines and peripheral markers of neuroinflammation were analysed by next-generation ELISA. RESULTS: After adjustment for age, sex, frailty, education and Apolipoprotein E genotype, only interleukin-10, interleukin-1β, and neurofilament light chain were associated with the risk for AD and MD. Moreover, interleukin-6 showed a weak association only with AD. CONCLUSIONS: Our data showed similar associations between AD and MD, supporting the concept that late-onset dementia is a complex outcome of aging, intimately linked to the individual's health status as well as frailty.",Experimental gerontology
40510352,Single-cell transcriptomics for immune profiling of cerebrospinal fluid in neurological diseases.,"In this comprehensive review, we delve into the significant body of research on single-cell transcriptomics in cerebrospinal fluid (CSF) to understand neurological diseases with autoimmune, neurodegenerative, infectious, or oncogenic origins. We thoroughly examine all published studies in these areas, with a particular focus on multiple sclerosis, Alzheimer's disease, and Parkinson's disease. For these diseases, we review findings related to immune cells that infiltrate the brain, based on postmortem brain tissue analyses and include CSF cytometry findings. Single-cell RNA sequencing (scRNA-seq), single-cell T cell receptor sequencing (scTCR-seq), and single-cell B cell receptor sequencing (scBCR-seq) are increasingly vital tools for studying CSF to understand various aspects of neurological diseases. These advanced techniques allow researchers to explore the etiopathogenesis of these conditions by identifying the roles and interactions of different immune cells. scRNA-seq provides detailed insights into the gene expression profiles of individual cells, revealing how specific cell types contribute to disease progression. scTCR-seq and scBCR-seq enable the study of clonal expansion in T and B cells, respectively, and facilitate antigen prediction, helping to uncover the nature of antigens that trigger adaptive immune responses. By integrating these technologies, scientists can define new therapeutic targets and categorize patients, leading to more personalized and effective treatments. This review highlights the promising advancements and addresses the current limitations of single-cell transcriptomics in the context of CSF and neurological diseases, setting the stage for future breakthroughs.",Frontiers in immunology
39085534,No association between markers of systemic inflammation and endothelial dysfunction with Alzheimer's disease progression: a longitudinal study.,"INTRODUCTION: Systemic inflammation and endothelial dysfunction are potentially modifiable factors implicated in Alzheimer's disease (AD), which offer potential therapeutic targets to slow disease progression. METHODS: We investigated the relationship between baseline circulating levels of inflammatory (TNF-α, IL-1ß) and endothelial cell markers (VCAM-1, ICAM-1, E-selectin) and 18-month cognitive decline (ADAS-cog12) in 266 mild-to-moderate AD patients from the NILVAD study. We employed individual growth models to examine associations, potential mediation, and interaction effects while adjusting for confounders. RESULTS: The average increase in ADAS-cog12 scores over all patients was 8.1 points in 18 months. No significant association was found between the markers and the rate of cognitive decline. Mediation analysis revealed no mediating role for endothelial cell markers, and interaction effects were not observed. DISCUSSION: Our results do not support the role of systemic inflammation or endothelial dysfunction in progression in persons with AD.",GeroScience
37898567,Agreement of cerebrospinal fluid biomarkers and amyloid-PET in a multicenter study.,"Core Alzheimer's disease (AD) cerebrospinal fluid (CSF) biomarkers have shown incomplete agreement with amyloid-positron emission tomography (PET). Our goal was to analyze the agreement between AD CSF biomarkers and amyloid-PET in a multicenter study. Retrospective multicenter study (5 centers). Participants who underwent both CSF biomarkers and amyloid-PET scan within 18 months were included. Clinical diagnoses were made according to latest diagnostic criteria by the attending clinicians. CSF Amyloid Beta(1-42) (Aβ(1-42), A), phosphorliated tau 181 (pTau181, T) and total tau (tTau, N) biomarkers were considered normal (-) or abnormal ( +) according to cutoffs of each center. Amyloid-PET was visually classified as positive/negative. Agreement between CSF biomarkers and amyloid-PET was analyzed by overall percent agreement (OPA). 236 participants were included (mean age 67.9 years (SD 9.1), MMSE score 24.5 (SD 4.1)). Diagnoses were mild cognitive impairment or dementia due to AD (49%), Lewy body dementia (22%), frontotemporal dementia (10%) and others (19%). Mean time between tests was 5.1 months (SD 4.1). OPA between single CSF biomarkers and amyloid-PET was 74% for (Aβ1-42), 75% for pTau181, 73% for tTau. The use of biomarker ratios improved OPA: 87% for Aβ(1-42)/Aβ(1-40) (n = 155), 88% for pTau181/Aβ(1-42) (n = 94) and 82% for tTau/Aβ(1-42) (n = 160). A + T + N + cases showed the highest agreement between CSF biomarkers and amyloid-PET (96%), followed by A-T-N- cases (89%). Aβ(1-42)/Aβ(1-40) was a better marker of cerebral amyloid deposition, as identified by amyloid tracers, than Aβ(1-42) alone. Combined biomarkers in CSF predicted amyloid-PET result better than single biomarkers.",European archives of psychiatry and clinical neuroscience
39697158,Defining benefit: Clinically and biologically meaningful outcomes in the next-generation Alzheimer's disease clinical care pathway.,"To understand the potential benefits of emerging Alzheimer's disease (AD) therapies within and beyond clinical trial settings, there is a need to advance current outcome measurements into meaningful information relevant to all stakeholders. The relationship between the impact on disease biology and clinically measurable outcomes in cognition, function, and behavior must be considered when defining the meaningful benefit of early AD therapies. In this review, we discuss: (1) the lack of consideration for biomarkers in the current concept of meaningfulness in AD; (2) the lack of gold standards for determining minimal biologically and clinically important differences (MBCIDs) in AD trials; (3) how the treatment benefits of disease-modifying treatments are cumulative and increase over time; and (4) the different concepts of meaningfulness among key stakeholders. This review utilizes the future clinical biological framework of AD and aims to further integrate and expand the parameters of meaningful benefits toward a precision medicine framework. HIGHLIGHTS: Definition of meaningful benefit from Alzheimer's disease (AD) treatment varies across disease stage and stakeholder perspectives. Observable and meaningful outcomes must consider the clinical-biological nature of AD. Statistically significant effects or outcomes do not always equate to clinically meaningfulness. Assessment tools must reflect stage-specific subtle changes following treatment. Real-world evidence will support consensus, definition, and interpretation of clinical meaningfulness.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39718338,Precision diagnosis of cognitive impairment due to Alzheimer's disease for therapeutic interventions.,"With the advent of anti-amyloid monoclonal antibody (AAMA) therapy, precision diagnosis is necessary for identifying appropriate patients with cognitive disorders due to Alzheimer's disease. Therapy with AAMAs requires that candidates be diagnosed with mild cognitive impairment or mild dementia, have elevated brain amyloid-β, have good physical, psychiatric, and medical health, and lack clinical or biomarker evidence of potentially impactful non-Alzheimer brain disorders. The first three diagnostic activities are the core of the Clinical Practice Guidelines, but the last element of the precision diagnosis requires new decision-making tools for recognizing multi-etiology cognitive impairment. Within the context of shared decision-making between clinician, patient, and family, proper diagnosis is essential. In addition to discussing the benefits and risks of AAMA therapy, the experienced clinician must empathetically assist in bridging the gap between expectations of benefit and the patient's overall diagnostic suitability for AAMA therapy. HIGHLIGHTS: In order to prescribe an anti-amyloid monoclonal antibody (AAMA) to the right patients, those selected for treatment should be diagnosed with mild cognitive impairment or mild dementia, have elevated brain amyloid-β (Aβ), and have good physical, psychiatric, or medical health. Persons with Alzheimer's biology as the primary etiology are the ideal AAMA treatment recipients. A novel activity necessary to optimize therapeutic response is to exclude persons with clinical or biomarker evidence of alternative contributory brain disorders. While mild clinical severity and elevated brain amyloid-β are essential elements for selecting patients for AAMA treatment, clinical judgment is required to weigh the implications of more advanced disease severity, other medical co-morbidities, and the presence of other contributory neuropathologies.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39703103,From data to discovery: Neuroinformatics in understanding Alzheimer's disease.,"Neuroinformatics, an interdisciplinary field integrating neuroscience and informatics, plays a crucial role in understanding the complexities of the brain and neurological diseases such as Alzheimer's disease (AD). This review explores the applications, databases, and tools used in neuroinformatics, focusing on their role in AD research. Neuroinformatics facilitates data integration, analysis, and modeling, enabling researchers to unravel the underlying mechanisms of AD pathology. Various databases and tools provide access to neuroimaging, and genetic and clinical data, facilitating collaborative research and the development of diagnostic and therapeutic strategies. Neuroinformatics holds promise in advancing our understanding and treatment of AD, offering insights into disease progression, biomarker identification, and personalized medicine approaches.",Journal of biosciences
39668311,Achieving Inclusion in Pharmacological Clinical Trials for Alzheimer's Disease.,"Participant recruitment and retention into randomized controlled trials (RCTs) is a growing and evolving science. It varies dramatically by discipline given the important and key choices that must be made based on the unique trial design considerations. In the field of Alzheimer's Disease (AD) therapeutics, recruitment goals, approaches, and strategies vary based on the disease stage of the target population which can range from asymptomatic adults with biomarker evidence of the disease to end-stage symptom management. This chapter discusses existing barriers and provides recommendations to achieve inclusive and timely recruitment in multi-center AD trials. It proposes an evidence-based recruitment framework anchored on culturally cognizant and participant focused study level and study site level efforts.",Current topics in behavioral neurosciences
39894694,"Atypical Alzheimer's dementia: Addressing the subtypes, epidemiology, atypical presentations, diagnostic biomarkers, and treatment updates.","Alzheimer's disease is a progressive neurodegenerative disorder that primarily affects the elderly population; and is characterized by the gradual loss of memory, cognition, and ability to carry out daily activities. However, a growing body of research indicates that there exists a subtype of Alzheimer's disease known as Atypical Alzheimer's disease. Atypical Alzheimer's disease is a rare form of dementia that differs from the typical presentation of Alzheimer's disease, such as variations in the age of onset, distribution of brain pathology, and clinical symptoms. The patients affected have a younger age of onset and have predominantly visual, language, executive function, motor, and behavioral dysfunction. The diagnosis requires a comprehensive neurological evaluation with specific attention to cognitive and behavioral changes while ruling out other potential causes of dementia. Emerging biomarkers including CSF profiles, amyloid and tau PET imaging, and advanced neuroimaging techniques offer promising avenues for improving diagnostic accuracy and understanding disease mechanisms. In this article, we focus on atypical presentations seen in the posterior cortical variant, frontal variant, progressive aphasic variant, corticobasal syndrome and look at the specific biomarkers used in the diagnosis of each variant along with focusing on the treatment of the disease. We also aim to provide an understanding of Atypical Alzheimer's disease, its clinical features, the biomarkers helping in diagnosing the disease, the current treatment guidelines, and the current scientific advancements in the field.",Disease-a-month : DM
40023055,Event-related potential markers of subjective cognitive decline and mild cognitive impairment during a sustained visuo-attentive task.,"Subjective cognitive decline (SCD), mild cognitive impairment (MCI), and Alzheimer's disease stages lack well-defined electrophysiological correlates, creating a critical gap in the identification of robust biomarkers for early diagnosis and intervention. In this study, we analysed event-related potentials (ERPs) recorded during a sustained visual attention task in a cohort of 178 individuals (119 SCD, 40 MCI, and 19 healthy subjects, HS) to investigate sensory and cognitive processing alterations associated with these conditions. SCD patients exhibited significant attenuation in both sensory (P1, N1, P2) and cognitive (P300, P600, P900) components compared to HS, with cognitive components showing performance-related gains. In contrast, MCI patients did not show a further decrease in any ERP component compared to SCD. Instead, they exhibited compensatory enhancements, reversing the downward trend observed in SCD. This compensation resulted in a non-monotonic pattern of ERP alterations across clinical conditions, suggesting that MCI patients engage neural mechanisms to counterbalance sensory and cognitive deficits. These findings support the use of electrophysiological markers in support of medical decision-making, enhancing personalized prognosis and guiding targeted interventions in cognitive decline.",NeuroImage. Clinical
